Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,50.400002,54.180000,48.709999,52.310001,50.441570,123704400
2017-02-01,52.549999,58.570000,52.180000,57.799999,55.735477,99933300
2017-03-01,58.470001,59.680000,51.110001,53.759998,51.839779,137616000
2017-04-01,53.720001,57.840000,52.880001,56.220001,54.306263,91115000
2017-05-01,56.520000,61.189999,56.169998,60.090000,58.044525,89185500
2017-06-01,60.180000,62.750000,57.630001,62.139999,60.024734,105488700
2017-07-01,62.520000,64.389999,53.770000,55.509998,53.731693,105937200
2017-08-01,55.880001,56.869999,50.490002,52.139999,50.469658,128363700
2017-09-01,52.349998,56.650002,49.759998,55.980000,54.313446,116273300
2017-10-01,56.020000,59.889999,53.540001,53.860001,52.256561,119151500
2017-11-01,54.029999,61.509998,52.779999,60.669998,58.863823,91032900
2017-12-01,60.509998,66.989998,59.509998,65.449997,63.501518,85218100
2018-01-01,65.910004,66.519997,59.250000,60.799999,59.109665,116206700
2018-02-01,60.509998,61.119999,54.009998,57.840000,56.231956,91537100
2018-03-01,57.779999,61.380001,55.869999,57.279999,55.687523,108342800
2018-04-01,57.189999,57.189999,51.000000,52.830002,51.471455,113398500
2018-05-01,52.799999,53.610001,50.200001,51.080002,49.766453,139139900
2018-06-01,51.200001,53.540001,49.930000,50.880001,49.571594,134202100
2018-07-01,50.630001,59.330002,50.500000,58.160000,56.840462,109641900
2018-08-01,58.119999,62.200001,55.610001,61.299999,59.909225,83209400
2018-09-01,61.430000,64.019997,60.660000,62.450001,61.191990,74908300
2018-10-01,62.610001,63.200001,47.099998,49.099998,48.110920,143452500
2018-11-01,49.299999,54.660000,49.299999,54.610001,53.509926,101260600
2018-12-01,54.900002,55.680000,44.279999,46.480000,45.543697,91516600
2019-01-01,46.049999,57.820000,44.610001,56.759998,55.780766,104026300
2019-02-01,56.990002,58.770000,53.310001,56.040001,55.073189,105775000
2019-03-01,56.279999,56.580002,48.500000,51.910000,51.014439,131602400
2019-04-01,52.270000,54.860001,51.380001,54.230000,53.453297,80443900
2019-05-01,54.599998,54.610001,47.439999,47.599998,46.918251,70445600
2019-06-01,47.599998,52.750000,47.400002,50.779999,50.052704,73042500
2019-07-01,51.200001,55.939999,51.029999,51.529999,50.983997,80907400
2019-08-01,51.529999,53.189999,48.090000,52.320000,51.765625,72886000
2019-09-01,51.889999,56.490002,50.910000,54.009998,53.628338,75093800
2019-10-01,54.290001,57.900002,51.189999,56.130001,55.733364,98944500
2019-11-01,56.340000,58.500000,55.849998,57.639999,57.232689,44694500
2019-12-01,57.599998,57.799999,53.430000,53.980000,53.598553,74927100
