Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,74.019997,76.750000,69.339996,70.470001,70.470001,73206900
2017-02-01,70.949997,76.459999,70.550003,74.089996,74.089996,57821300
2017-03-01,74.639999,76.650002,64.160004,70.639999,70.639999,110694200
2017-04-01,70.690002,72.099998,67.550003,70.209999,70.209999,97787300
2017-05-01,70.559998,81.959999,70.239998,79.669998,79.669998,72086900
2017-06-01,79.989998,83.040001,74.970001,75.250000,75.250000,74222600
2017-07-01,75.849998,81.389999,66.449997,67.680000,67.680000,98614800
2017-08-01,68.150002,69.309998,61.310001,61.959999,61.959999,84077700
2017-09-01,62.540001,63.080002,57.340000,60.880001,60.880001,109888100
2017-10-01,60.900002,69.620003,58.040001,58.480000,58.480000,153805700
2017-11-01,58.200001,63.840000,56.509998,63.320000,63.320000,79742800
2017-12-01,63.200001,67.989998,61.779999,67.400002,67.400002,76524000
2018-01-01,67.900002,79.000000,65.440002,67.820000,67.820000,135147300
2018-02-01,67.220001,69.480003,60.439999,67.790001,67.790001,75668300
2018-03-01,67.779999,73.410004,65.669998,69.470001,69.470001,75113700
2018-04-01,69.120003,72.599998,64.800003,67.540001,67.540001,94095300
2018-05-01,67.589996,72.739998,65.570000,69.589996,69.589996,62753900
2018-06-01,70.000000,75.529999,67.930000,69.730003,69.730003,60887100
2018-07-01,69.400002,82.040001,67.940002,80.400002,80.400002,93174400
2018-08-01,80.769997,87.669998,78.699997,87.419998,87.419998,53626800
2018-09-01,87.839996,91.389999,86.260002,89.059998,89.059998,55554500
2018-10-01,89.290001,89.610001,78.870003,85.510002,85.510002,98781900
2018-11-01,85.620003,96.800003,85.620003,96.699997,96.699997,69428900
2018-12-01,97.669998,97.849998,79.050003,83.730003,83.730003,76595900
2019-01-01,81.690002,88.150002,77.389999,87.269997,87.269997,93456100
2019-02-01,87.209999,90.930000,86.660004,87.809998,87.809998,48060300
2019-03-01,88.459999,88.620003,77.019997,79.779999,79.779999,70890400
2019-04-01,80.209999,90.160004,79.559998,88.860001,88.860001,61650400
2019-05-01,89.059998,89.709999,77.400002,77.650002,77.650002,50213100
2019-06-01,77.379997,89.410004,77.349998,87.550003,87.550003,43843200
2019-07-01,88.839996,96.029999,87.769997,91.910004,91.910004,62317400
2019-08-01,92.029999,93.040001,80.779999,84.309998,84.309998,53155300
2019-09-01,83.639999,91.839996,82.250000,88.410004,88.410004,47775300
2019-10-01,89.150002,92.800003,80.870003,90.839996,90.839996,61233900
2019-11-01,91.650002,95.160004,90.769997,92.800003,92.800003,35095100
2019-12-01,93.000000,93.620003,86.080002,88.089996,88.089996,42638400
